ID,SkillName,Description,Cooldown,CostMP,EnforceBaseCost,EnforceCostFactor,EnforceLevel,Damage,DamageFactor,CanActive,CanUnlock
1,화염 숨결,전방에 강력한 화염을 내뿜어 광역 피해를 입힙니다.,10,15,200,0.2,0,50,1.5,FALSE,TRUE
2,회전 베기,빠르게 주위를 회전하여 주변의 적들을 베어버리며 광역 피해를 입힙니다.,5,8,200,0.25,0,50,1.25,FALSE,FALSE
3,하늘 가르기,충격파로 대지를 갈라 큰 피해를 입힙니다.,20,20,400,0.3,0,100,2,FALSE,FALSE
4,참격,무기를 높이 치켜들고 강한 힘으로 정면을 세로 방향으로 내려베는 공격 ,8,10,100,0.2,0,40,1,FALSE,TRUE
5,전의 가르기,진심을 담아 넓게 무기를 휘둘러 다수의 적을 가릅니다. 전방의 다수 적들을 베며 광역 피해를 입힙니다.,5,10,250,0.3,0,50,1.5,FALSE,TRUE
6,파수의 성검,거대한 빛의 검이 지면을 내려치며 거대한 광역 피해를 입힙니다. ,30,40,500,0.4,0,150,2.5,FALSE,FALSE
7,힐,빠르게 체력을 회복합니다,20,30,150,0.25,0,0,0,FALSE,TRUE
8,재빠른 발걸음,일시적으로 이동속도가 증가합니다.,30,50,200,0.4,0,0,0,FALSE,FALSE
9,굳건한 의지,일시적으로 스피드가 느려지고 방어력이 올라갑니다.,20,20,200,0.25,0,0,0,FALSE,FALSE
10,죽음 서약,일시적으로 체력이 공격력 및 생명력 흡수로 전환됩니다.,10,20,400,0.25,0,0,0,FALSE,TRUE
11,없음,없음,0,0,0,0,0,0,0,FALSE,FALSE
12,없음,없음,0,0,0,0,0,0,0,FALSE,FALSE
